"filename", "language", "Vue.js", "JavaScript", "CSS", "XML", "TypeScript", "JSON", "SCSS", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\src\App.vue", "Vue.js", 55, 0, 0, 0, 0, 0, 0, 1, 5, 61
"d:\20232024\task\pages\Lineage_front\src\assets\database-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\database-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\database.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\fenqu-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\hive-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\hive-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\hive.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\js\china.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 23, 2, 49
"d:\20232024\task\pages\Lineage_front\src\assets\result-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\result-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\result.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 79, 13, 8, 100
"d:\20232024\task\pages\Lineage_front\src\assets\scss\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 119, 12, 16, 147
"d:\20232024\task\pages\Lineage_front\src\assets\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 139, 14, 33, 186
"d:\20232024\task\pages\Lineage_front\src\assets\sql-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\sql-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\sql.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\tool-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\upload-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\user-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\user-error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\user.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\weiban-active.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\配置-分区配置 (1).svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\配置-分区配置 (2).svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\common\echart\index.vue", "Vue.js", 61, 0, 0, 0, 0, 0, 0, 3, 4, 68
"d:\20232024\task\pages\Lineage_front\src\common\echart\theme.json", "JSON", 0, 0, 0, 0, 0, 490, 0, 0, 1, 491
"d:\20232024\task\pages\Lineage_front\src\common\map\fujian.js", "JavaScript", 0, 2119, 0, 0, 0, 0, 0, 23, 1, 2143
"d:\20232024\task\pages\Lineage_front\src\common\map\lines.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\20232024\task\pages\Lineage_front\src\common\map\points.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 4, 0, 45
"d:\20232024\task\pages\Lineage_front\src\common\map\putuo.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 23, 1, 48
"d:\20232024\task\pages\Lineage_front\src\common\map\tuo3.json", "JSON", 0, 0, 0, 0, 0, 79, 0, 0, 0, 79
"d:\20232024\task\pages\Lineage_front\src\common\map\tupuo.json", "JSON", 0, 0, 0, 0, 0, 2096, 0, 0, 0, 2096
"d:\20232024\task\pages\Lineage_front\src\components\HelloWorld.vue", "Vue.js", 55, 0, 0, 0, 0, 0, 0, 1, 3, 59
"d:\20232024\task\pages\Lineage_front\src\components\echarts\FindGenderAge.vue", "Vue.js", 99, 0, 0, 0, 0, 0, 0, 2, 4, 105
"d:\20232024\task\pages\Lineage_front\src\components\echarts\Map.vue", "Vue.js", 94, 0, 0, 0, 0, 0, 0, 2, 4, 100
"d:\20232024\task\pages\Lineage_front\src\components\echarts\TopFiveBar.vue", "Vue.js", 68, 0, 0, 0, 0, 0, 0, 2, 3, 73
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomLeftChart\chart.vue", "Vue.js", 142, 0, 0, 0, 0, 0, 0, 1, 2, 145
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomLeftChart\index.vue", "Vue.js", 138, 0, 0, 0, 0, 0, 0, 1, 2, 141
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomRightChart\chart.vue", "Vue.js", 349, 0, 0, 0, 0, 0, 0, 2, 3, 354
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomRightChart\index.vue", "Vue.js", 77, 0, 0, 0, 0, 0, 0, 7, 6, 90
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft1Chart\chart.vue", "Vue.js", 74, 0, 0, 0, 0, 0, 0, 0, 2, 76
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft1Chart\index.vue", "Vue.js", 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft2Chart\chart.vue", "Vue.js", 268, 0, 0, 0, 0, 0, 0, 16, 2, 286
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft2Chart\index.vue", "Vue.js", 61, 0, 0, 0, 0, 0, 0, 2, 2, 65
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerRight\centerRightChart\chart.vue", "Vue.js", 129, 0, 0, 0, 0, 0, 0, 1, 2, 132
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerRight\centerRightChart\index.vue", "Vue.js", 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\20232024\task\pages\Lineage_front\src\components\echarts\center\centerChartRate\index.vue", "Vue.js", 95, 0, 0, 0, 0, 0, 0, 2, 2, 99
"d:\20232024\task\pages\Lineage_front\src\components\graph6\gongxiang.vue", "Vue.js", 293, 0, 0, 0, 0, 0, 0, 3, 1, 297
"d:\20232024\task\pages\Lineage_front\src\components\graph6\graph.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"d:\20232024\task\pages\Lineage_front\src\components\graph6\guiji.vue", "Vue.js", 294, 0, 0, 0, 0, 0, 0, 1, 1, 296
"d:\20232024\task\pages\Lineage_front\src\components\graph6\linkTree.vue", "Vue.js", 461, 0, 0, 0, 0, 0, 0, 37, 12, 510
"d:\20232024\task\pages\Lineage_front\src\components\graph6\mainTree.vue", "Vue.js", 575, 0, 0, 0, 0, 0, 0, 59, 11, 645
"d:\20232024\task\pages\Lineage_front\src\components\provenance\event.vue", "Vue.js", 422, 0, 0, 0, 0, 0, 0, 25, 8, 455
"d:\20232024\task\pages\Lineage_front\src\js\alarm.js", "JavaScript", 0, 281, 0, 0, 0, 0, 0, 0, 2, 283
"d:\20232024\task\pages\Lineage_front\src\js\flowcharts.js", "JavaScript", 0, 310, 0, 0, 0, 0, 0, 49, 18, 377
"d:\20232024\task\pages\Lineage_front\src\js\fusion.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 2, 16, 168
"d:\20232024\task\pages\Lineage_front\src\js\home.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 10, 0, 116
"d:\20232024\task\pages\Lineage_front\src\js\imputation.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 3, 1, 111
"d:\20232024\task\pages\Lineage_front\src\js\reverse.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 8, 4, 99
"d:\20232024\task\pages\Lineage_front\src\lib\leader-line-min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\20232024\task\pages\Lineage_front\src\main.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 0, 28
"d:\20232024\task\pages\Lineage_front\src\router\index.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 14, 6, 102
"d:\20232024\task\pages\Lineage_front\src\style\alarm.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 0, 12, 73
"d:\20232024\task\pages\Lineage_front\src\style\flowcharts.css", "CSS", 0, 0, 173, 0, 0, 0, 0, 3, 33, 209
"d:\20232024\task\pages\Lineage_front\src\style\fusion.css", "CSS", 0, 0, 159, 0, 0, 0, 0, 5, 28, 192
"d:\20232024\task\pages\Lineage_front\src\style\home_index.css", "CSS", 0, 0, 200, 0, 0, 0, 0, 9, 45, 254
"d:\20232024\task\pages\Lineage_front\src\style\imputation.css", "CSS", 0, 0, 193, 0, 0, 0, 0, 5, 34, 232
"d:\20232024\task\pages\Lineage_front\src\style\reverse.css", "CSS", 0, 0, 58, 0, 0, 0, 0, 2, 12, 72
"d:\20232024\task\pages\Lineage_front\src\utils\decisionTree.js", "JavaScript", 0, 400, 0, 0, 0, 0, 0, 6, 12, 418
"d:\20232024\task\pages\Lineage_front\src\utils\drawMixin.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 8, 4, 57
"d:\20232024\task\pages\Lineage_front\src\utils\index.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 8, 2, 52
"d:\20232024\task\pages\Lineage_front\src\utils\resizeMixin.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 2, 34
"d:\20232024\task\pages\Lineage_front\src\views\Alarm.vue", "Vue.js", 185, 0, 0, 0, 0, 0, 0, 0, 0, 185
"d:\20232024\task\pages\Lineage_front\src\views\FlowCharts.vue", "Vue.js", 190, 0, 0, 0, 0, 0, 0, 15, 2, 207
"d:\20232024\task\pages\Lineage_front\src\views\Fusion.vue", "Vue.js", 176, 0, 0, 0, 0, 0, 0, 2, 1, 179
"d:\20232024\task\pages\Lineage_front\src\views\GenderAge.vue", "Vue.js", 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\20232024\task\pages\Lineage_front\src\views\Home.vue", "Vue.js", 296, 0, 0, 0, 0, 0, 0, 3, 2, 301
"d:\20232024\task\pages\Lineage_front\src\views\Imputation.vue", "Vue.js", 130, 0, 0, 0, 0, 0, 0, 0, 1, 131
"d:\20232024\task\pages\Lineage_front\src\views\Layout.vue", "Vue.js", 129, 0, 0, 0, 0, 0, 0, 23, 3, 155
"d:\20232024\task\pages\Lineage_front\src\views\Load.vue", "Vue.js", 177, 0, 0, 0, 0, 0, 0, 1, 1, 179
"d:\20232024\task\pages\Lineage_front\src\views\Province.vue", "Vue.js", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\20232024\task\pages\Lineage_front\src\views\Reader.vue", "Vue.js", 557, 0, 0, 0, 0, 0, 0, 15, 20, 592
"d:\20232024\task\pages\Lineage_front\src\views\Reverse.vue", "Vue.js", 87, 0, 0, 0, 0, 0, 0, 3, 2, 92
"d:\20232024\task\pages\Lineage_front\src\views\Search.vue", "Vue.js", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\20232024\task\pages\Lineage_front\src\views\TopFive.vue", "Vue.js", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottom.vue", "Vue.js", 70, 0, 0, 0, 0, 0, 0, 32, 6, 108
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottomLeft.vue", "Vue.js", 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottomRight.vue", "Vue.js", 57, 0, 0, 0, 0, 0, 0, 1, 2, 60
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\center.vue", "Vue.js", 106, 0, 0, 0, 0, 0, 0, 5, 4, 115
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft1.vue", "Vue.js", 167, 0, 0, 0, 0, 0, 0, 5, 5, 177
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft2.vue", "Vue.js", 57, 0, 0, 0, 0, 0, 0, 0, 2, 59
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight1.vue", "Vue.js", 93, 0, 0, 0, 0, 0, 0, 1, 5, 99
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight2.vue", "Vue.js", 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\mainFlowCharts.vue", "Vue.js", 30, 0, 0, 0, 0, 0, 0, 3, 2, 35
"d:\20232024\task\pages\Lineage_front\src\views\general.vue", "Vue.js", 261, 0, 0, 0, 0, 0, 0, 2, 5, 268
"d:\20232024\task\pages\Lineage_front\src\views\index.vue", "Vue.js", 446, 0, 0, 0, 0, 0, 0, 28, 16, 490
"d:\20232024\task\pages\Lineage_front\src\views\mainJobs.vue", "Vue.js", 410, 0, 0, 0, 0, 0, 0, 0, 6, 416
"d:\20232024\task\pages\Lineage_front\src\views\map.vue", "Vue.js", 25, 0, 0, 0, 0, 0, 0, 1, 0, 26
"d:\20232024\task\pages\Lineage_front\src\views\readerlast.vue", "Vue.js", 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"Total", "-", 7757, 3884, 844, 24, 12, 2665, 337, 561, 483, 16567